WARNING 2026-06-20 12:26:56,418 log 25052 18384 Forbidden: /api/usuarios/1/toggle-activo/
WARNING 2026-06-20 12:26:57,210 log 25052 18384 Unauthorized: /api/usuarios/
WARNING 2026-06-20 12:26:57,212 log 25052 18384 Forbidden: /api/usuarios/
WARNING 2026-06-20 12:27:02,308 log 25052 18384 Bad Request: /api/ventas/
WARNING 2026-06-20 12:27:54,417 log 21988 17908 Unauthorized: /api/auth/login/
WARNING 2026-06-20 12:27:54,418 basehttp 21988 17908 "POST /api/auth/login/ HTTP/1.1" 401 71
WARNING 2026-06-20 12:27:58,208 log 21988 17908 Unauthorized: /api/auth/login/
WARNING 2026-06-20 12:27:58,209 basehttp 21988 17908 "POST /api/auth/login/ HTTP/1.1" 401 71
WARNING 2026-06-20 12:28:00,222 log 21988 17908 Unauthorized: /api/auth/login/
WARNING 2026-06-20 12:28:00,222 basehttp 21988 17908 "POST /api/auth/login/ HTTP/1.1" 401 71
WARNING 2026-06-20 12:28:07,748 log 21988 17908 Unauthorized: /api/auth/me/
WARNING 2026-06-20 12:28:07,748 basehttp 21988 17908 "GET /api/auth/me/ HTTP/1.1" 401 65
WARNING 2026-06-20 12:28:07,758 log 21988 17908 Unauthorized: /api/auth/refresh/
WARNING 2026-06-20 12:28:07,759 basehttp 21988 17908 "POST /api/auth/refresh/ HTTP/1.1" 401 44
WARNING 2026-06-20 12:28:47,630 log 21988 17908 Unauthorized: /api/auth/login/
WARNING 2026-06-20 12:28:47,631 basehttp 21988 17908 "POST /api/auth/login/ HTTP/1.1" 401 71
WARNING 2026-06-20 12:28:51,324 log 21988 17908 Unauthorized: /api/auth/me/
WARNING 2026-06-20 12:28:51,325 basehttp 21988 17908 "GET /api/auth/me/ HTTP/1.1" 401 65
WARNING 2026-06-20 12:28:51,329 log 21988 17908 Unauthorized: /api/auth/refresh/
WARNING 2026-06-20 12:28:51,330 basehttp 21988 17908 "POST /api/auth/refresh/ HTTP/1.1" 401 44
WARNING 2026-06-20 12:29:55,636 log 28396 12844 Forbidden: /api/kardex/
WARNING 2026-06-20 12:29:56,393 log 28396 12844 Forbidden: /api/inventario/valoracion/
WARNING 2026-06-20 12:29:56,395 log 28396 12844 Forbidden: /api/productos/importar/
WARNING 2026-06-20 12:29:57,174 log 28396 12844 Forbidden: /api/productos/
WARNING 2026-06-20 12:29:57,175 log 28396 12844 Forbidden: /api/productos/1/ajustar/
WARNING 2026-06-20 12:30:00,977 log 28396 12844 Unauthorized: /api/auth/login/
WARNING 2026-06-20 12:30:01,872 log 28396 12844 Forbidden: /api/usuarios/1/toggle-activo/
WARNING 2026-06-20 12:30:02,757 log 28396 12844 Unauthorized: /api/usuarios/
WARNING 2026-06-20 12:30:02,758 log 28396 12844 Forbidden: /api/usuarios/
WARNING 2026-06-20 12:30:08,647 log 28396 12844 Bad Request: /api/ventas/
WARNING 2026-06-20 12:30:42,209 log 27920 24376 Unauthorized: /api/auth/login/
WARNING 2026-06-20 12:30:42,210 basehttp 27920 24376 "POST /api/auth/login/ HTTP/1.1" 401 71
WARNING 2026-06-20 12:30:49,774 log 27920 24376 Unauthorized: /api/auth/me/
WARNING 2026-06-20 12:30:49,775 basehttp 27920 24376 "GET /api/auth/me/ HTTP/1.1" 401 65
WARNING 2026-06-20 12:30:49,779 log 27920 24376 Unauthorized: /api/auth/refresh/
WARNING 2026-06-20 12:30:49,780 basehttp 27920 24376 "POST /api/auth/refresh/ HTTP/1.1" 401 44
WARNING 2026-06-20 12:31:28,087 log 4324 27836 Not Found: /media/productos/Aceite_SxYC2rM.png
WARNING 2026-06-20 12:31:28,088 log 4324 24048 Not Found: /media/productos/agua-cielo-1L.png
WARNING 2026-06-20 12:31:28,089 basehttp 4324 24048 "GET /media/productos/agua-cielo-1L.png HTTP/1.1" 404 2639
WARNING 2026-06-20 12:31:28,089 basehttp 4324 27836 "GET /media/productos/Aceite_SxYC2rM.png HTTP/1.1" 404 2643
WARNING 2026-06-20 12:31:28,260 log 4324 25860 Not Found: /media/productos/Arroz_9GQbrr3.png
WARNING 2026-06-20 12:31:28,261 log 4324 11908 Not Found: /media/productos/agua-san-luis-625ml.png
WARNING 2026-06-20 12:31:28,262 basehttp 4324 25860 "GET /media/productos/Arroz_9GQbrr3.png HTTP/1.1" 404 2639
WARNING 2026-06-20 12:31:28,263 basehttp 4324 11908 "GET /media/productos/agua-san-luis-625ml.png HTTP/1.1" 404 2663
WARNING 2026-06-20 12:31:28,264 log 4324 12320 Not Found: /media/productos/arroz-extra-costeño5kg.png
WARNING 2026-06-20 12:31:28,266 basehttp 4324 12320 "GET /media/productos/arroz-extra-coste%C3%B1o5kg.png HTTP/1.1" 404 2683
WARNING 2026-06-20 12:31:34,348 log 4324 24504 Not Found: /media/productos/agua-cielo-1L.png
WARNING 2026-06-20 12:31:34,349 log 4324 19892 Not Found: /media/productos/Aceite_SxYC2rM.png
